Mechanism,Noise,Model,Threshold regime,PR AUC,PR AUC DE,F2,Recall,Observed prev.
severity-targeted,0.1,S5 PC1 (p-factor),(b) fixed capacity 19%,0.7390496532248282,0.0,0.6436781609195402,0.6363636363636364,0.1717734447539461
severity-targeted,0.2,L1-LR supervised,labels,0.7436437197344336,0.010267959917187904,0.7427794560469719,0.8115909090909089,0.15227483751160634
severity-targeted,0.2,S1 Robust Z-Score (MAD),(a) observed prevalence,0.7295534159180366,0.0,0.6928406466512703,0.681818181818182,0.15227483751160634
severity-targeted,0.2,S1 Robust Z-Score (MAD),(b) fixed capacity 19%,0.7295534159180366,0.0,0.7191011235955056,0.7272727272727273,0.15227483751160634
severity-targeted,0.2,S3 Sum of z (distress),(a) observed prevalence,0.7710070604637808,0.0,0.642857142857143,0.6136363636363636,0.15227483751160634
severity-targeted,0.2,S3 Sum of z (distress),(b) fixed capacity 19%,0.7710070604637808,0.0,0.6597222222222222,0.6477272727272727,0.15227483751160634
severity-targeted,0.2,S5 PC1 (p-factor),(a) observed prevalence,0.7390496532248282,0.0,0.619047619047619,0.590909090909091,0.15227483751160634
severity-targeted,0.2,S5 PC1 (p-factor),(b) fixed capacity 19%,0.7390496532248282,0.0,0.6436781609195402,0.6363636363636364,0.15227483751160634
severity-targeted,0.3,L1-LR supervised,labels,0.7379325086104673,0.013545629022440686,0.7376230813114718,0.7990909090909091,0.13277623026926652
severity-targeted,0.3,S1 Robust Z-Score (MAD),(a) observed prevalence,0.7295534159180366,0.0,0.6413301662707839,0.6136363636363636,0.13277623026926652
severity-targeted,0.3,S1 Robust Z-Score (MAD),(b) fixed capacity 19%,0.7295534159180366,0.0,0.7191011235955056,0.7272727272727273,0.13277623026926652
severity-targeted,0.3,S3 Sum of z (distress),(a) observed prevalence,0.7710070604637808,0.0,0.6265060240963854,0.590909090909091,0.13277623026926652
severity-targeted,0.3,S3 Sum of z (distress),(b) fixed capacity 19%,0.7710070604637808,0.0,0.6597222222222222,0.6477272727272727,0.13277623026926652
severity-targeted,0.3,S5 PC1 (p-factor),(a) observed prevalence,0.7390496532248282,0.0,0.6115107913669062,0.5795454545454547,0.13277623026926652
severity-targeted,0.3,S5 PC1 (p-factor),(b) fixed capacity 19%,0.7390496532248282,0.0,0.6436781609195402,0.6363636363636364,0.13277623026926652
severity-targeted,0.39,L1-LR supervised,labels,0.7382290975003301,0.016132867566960342,0.7295916952578446,0.7842045454545453,0.11606313834726095
severity-targeted,0.39,S1 Robust Z-Score (MAD),(a) observed prevalence,0.7295534159180366,0.0,0.6413301662707839,0.6136363636363636,0.11606313834726095
severity-targeted,0.39,S1 Robust Z-Score (MAD),(b) fixed capacity 19%,0.7295534159180366,0.0,0.7191011235955056,0.7272727272727273,0.11606313834726095
severity-targeted,0.39,S3 Sum of z (distress),(a) observed prevalence,0.7710070604637808,0.0,0.5853658536585364,0.5454545454545453,0.11606313834726095
severity-targeted,0.39,S3 Sum of z (distress),(b) fixed capacity 19%,0.7710070604637808,0.0,0.6597222222222222,0.6477272727272727,0.11606313834726095
severity-targeted,0.39,S5 PC1 (p-factor),(a) observed prevalence,0.7390496532248282,0.0,0.5717761557177615,0.534090909090909,0.11606313834726095
severity-targeted,0.39,S5 PC1 (p-factor),(b) fixed capacity 19%,0.7390496532248282,0.0,0.6436781609195402,0.6363636363636364,0.11606313834726095
uniform random (control),0.0,L1-LR supervised,labels,0.7414542028814343,0.0,0.7581967213114754,0.8409090909090909,0.1903435468895079
uniform random (control),0.0,S1 Robust Z-Score (MAD),(a) observed prevalence,0.7295534159180366,0.0,0.7191011235955056,0.7272727272727273,0.1903435468895079
uniform random (control),0.0,S1 Robust Z-Score (MAD),(b) fixed capacity 19%,0.7295534159180366,0.0,0.7191011235955056,0.7272727272727273,0.1903435468895079
uniform random (control),0.0,S3 Sum of z (distress),(a) observed prevalence,0.7710070604637808,0.0,0.6597222222222222,0.6477272727272727,0.1903435468895079
uniform random (control),0.0,S3 Sum of z (distress),(b) fixed capacity 19%,0.7710070604637808,0.0,0.6597222222222222,0.6477272727272727,0.1903435468895079
uniform random (control),0.0,S5 PC1 (p-factor),(a) observed prevalence,0.7390496532248282,0.0,0.6436781609195402,0.6363636363636364,0.1903435468895079
uniform random (control),0.0,S5 PC1 (p-factor),(b) fixed capacity 19%,0.7390496532248282,0.0,0.6436781609195402,0.6363636363636364,0.1903435468895079
