threshold,nb_model_calibrated,nb_distal,nb_treat_all
0.17333333333333334,0.13147605083088953,0.020737327188940086,0.020737327188940086
0.1782828282828283,0.13040360581847982,0.014838879620686612,0.014838879620686612
0.18323232323232325,0.12931816308022095,0.008868944560262881,0.008868944560262881
0.18818181818181817,0.1287212227861724,0.0028262144723510962,0.0028262144723510962
0.19313131313131313,0.1254609186507033,-0.0032906502611059485,-0.0032906502611059485
0.19808080808080808,0.12272173810150885,-0.009483022330988078,-0.009483022330988078
0.20303030303030303,0.12216680657745296,-0.015752308527973963,-0.015752308527973963
0.207979797979798,0.12106360671594699,-0.022099950808023766,-0.022099950808023766
0.21292929292929294,0.12053210307830431,-0.028527427398063993,-0.028527427398063993
0.21787878787878787,0.12062424208879072,-0.0350362539436542,-0.0350362539436542
0.22282828282828282,0.1213932934754354,-0.04162798470050877,-0.04162798470050877
0.22777777777777777,0.12034009156311315,-0.04830421377183969,-0.04830421377183969
0.23272727272727273,0.11710879957325454,-0.05506657639359061,-0.05506657639359061
0.23767676767676768,0.11602815717033285,-0.0369473951692052,-0.06191675026973825
0.24262626262626263,0.11493339060690352,-0.04320055333658965,-0.0688564569599513
0.24757575757575756,0.11382422115406408,-0.049535978855350576,-0.07588746332201829
0.2525252525252525,0.11270036270036271,-0.05150930150930147,-0.08301158301158296
0.25747474747474747,0.11306262775450641,-0.057782579276253576,-0.09023067804186019
0.26242424242424245,0.1134878542438115,-0.06414005058212127,-0.09754666040615101
0.2673737373737374,0.1131873779054256,-0.070583421817394,-0.10496149376612635
0.2723232323232323,0.11291225894224229,-0.06334383735827373,-0.11247719520901084
0.2772727272727273,0.11183261183261183,-0.06961801301423945,-0.12009583707696919
0.2822222222222222,0.10942463109645771,-0.07597871684558985,-0.1278195488721804
0.2871717171717172,0.1092078296272713,-0.04273641902946143,-0.1356505192412802
0.2921212121212121,0.10596053489889107,-0.048256537982565406,-0.14359099804305286
0.29707070707070704,0.1048624939270147,-0.053854393917621396,-0.15164329850347952
0.302020202020202,0.10158437799537653,-0.059531640573608796,-0.1598097994624768
0.30696969696969695,0.10045485777886304,-0.0655369990743842,-0.1680929477169092
0.31191919191919193,0.10008820695843598,-0.07133324690576598,-0.17649526046472613
0.31686868686868686,0.09999820771667586,-0.07620948719573589,-0.18501932785534736
0.32181818181818184,0.09891136566739786,-0.08453744646774136,-0.19366781565172986
0.32676767676767676,0.09780854304485213,-0.09047391718059389,-0.20244346800985963
0.3317171717171717,0.0977637839790198,-0.09649832231452543,-0.2113491103817584
0.33666666666666667,0.09452022014836084,-0.10261263025082124,-0.22038765254845655
0.3416161616161616,0.09344087435526527,-0.10986027371421661,-0.22956209178976894
0.3465656565656566,0.09018067520154398,-0.11613562919792628,-0.23887551619813174
0.3515151515151515,0.0890682526196545,-0.12250677671238422,-0.24833110814419235
0.3564646464646465,0.08793871853046237,-0.1265780209431128,-0.2579321479023253
0.3614141414141414,0.08679167505488292,-0.13403479363618562,-0.2676820174447508
0.36636363636363634,0.0856267118820921,-0.1406274261367518,-0.27758420441347265
0.3713131313131313,0.08444340578016672,-0.14732386294082953,-0.2876423062798384
0.37626262626262624,0.08152373941847624,-0.1383879278616121,-0.29786003470214
0.3812121212121212,0.08035793785059209,-0.1295182127699268,-0.3082412200923465
0.38616161616161615,0.07700883396127761,-0.13555404060587545,-0.3187898164037707
0.3911111111111111,0.07858564792871364,-0.14168799570259422,-0.32950990615224185
0.39606060606060606,0.07742032177556514,-0.13940566875840332,-0.34040570568418027
0.401010101010101,0.08348116189600169,-0.1383200835140127,-0.35148157070585406
0.40595959595959596,0.08174206907415546,-0.1444320288904543,-0.36274200208905194
0.4109090909090909,0.08070119181230292,-0.14893645449201007,-0.3741916519694297
0.41585858585858587,0.07964267561362492,-0.1301830338662433,-0.3858353301548876
0.4208080808080808,0.08013867309298074,-0.1358827197683144,-0.3976780108625242
0.4257575757575757,0.08012084661161176,-0.12242287176324118,-0.40972483980399554
0.4307070707070707,0.08401770928385546,-0.12629078988198927,-0.4219811416404745
0.43565656565656563,0.08308403010389764,-0.12950479506770896,-0.4344524278299112
0.4406060606060606,0.08383869651475284,-0.12310224986281326,-0.4471444048908838
0.44555555555555554,0.0829060718840278,-0.12365857255636811,-0.46006298310907523
0.4505050505050505,0.08550579322638144,-0.1288276674306086,-0.4732142857142858
0.45545454545454545,0.08028171049873888,-0.13409072841460154,-0.486604658557914
0.46040404040404037,0.07720570955314499,-0.13575666814154266,-0.5002406803230464
0.46535353535353535,0.07627733435403944,-0.14114124429635486,-0.5141291733016654
0.4703030303030303,0.07100260532754812,-0.14662644754177925,-0.5282772147760705
0.47525252525252526,0.07003904020265905,-0.1465382548154444,-0.5426921490444109
0.4802020202020202,0.06905712502292369,-0.13057508626882902,-0.5573816001332519
0.4851515151515151,0.06805633056368783,-0.1356591221217472,-0.5723534852434204
0.4901010101010101,0.06487160488745275,-0.14084185756135048,-0.587616028978945
0.495050505050505,0.0638313809948137,-0.14188205606489257,-0.6031777784128253
0.5,0.06277056277056277,-0.1406926406926407,-0.6190476190476191
